"Trade Date","Ticker","Open Price","Close Price","Volume","Sector","Validated","Currency","Exchange"
"09/01/2025"," AAPL ","190.94","188.38","14370135"," Technology ","Y","USD","NASDAQ"
"09/01/2025"," MSFT ","424.33","430.55","18978705"," Technology ","n","USD","NASDAQ"
"09/01/2025"," AMZN ","149.66","150.95","15164750"," Consumer Discretionary ","Yes","USD","NASDAQ"
"09/01/2025"," GOOGL ","140.43","142.06","14295720"," Communication Services ","NO","USD","NASDAQ"
"09/01/2025"," NVDA ","1102.24","1112.31","14071676"," Semiconductors ","y","USD","NASDAQ"
"09/02/2025"," AAPL ","189.81","191.24","13631167"," Technology ","N","USD","NASDAQ"
"09/02/2025"," MSFT ","424.69","431.87","20888705"," Technology ","Yes","USD","NASDAQ"
"09/02/2025"," AMZN ","148.31","147.42","na"," Consumer Discretionary ","no","USD","NASDAQ"
"09/02/2025"," GOOGL ","141.03","141.26","10333043"," Communication Services ","Y","USD","NASDAQ"
"09/02/2025"," NVDA ","1104.26","1111.48","16593851"," Semiconductors ","-","USD","NASDAQ"
"09/03/2025"," AAPL ","189.81","188.99","12879579"," Technology ","YES","USD","NASDAQ"
"09/03/2025"," MSFT ","424.08","419.82","-"," Technology ","y","USD","NASDAQ"
"09/03/2025"," AMZN ","146.8","148.27","13069101"," Consumer Discretionary ","n","USD","NASDAQ"
"09/03/2025"," GOOGL ","140.74","140.58","18398006"," Communication Services ","yes","USD","NASDAQ"
"09/03/2025"," NVDA ","1102.76","1111.26","13196519"," Semiconductors ","N","USD","NASDAQ"
"09/04/2025"," AAPL ","190.97","193.07","14899807"," Technology ","no","USD","NASDAQ"
"09/04/2025"," MSFT ","420.09","420.03","17674027"," Technology ","YES","USD","NASDAQ"
"09/04/2025"," AMZN ","146.59","146.5","12402074"," Consumer Discretionary ","y","USD","NASDAQ"
"09/04/2025"," GOOGL ","140.65","138.88","15990535"," Communication Services ","Na","USD","NASDAQ"
"09/04/2025"," NVDA ","1112.79","1097.15","12854513"," Semiconductors ","Y","USD","NASDAQ"
"09/05/2025"," AAPL ","191.42","191.84","13478291"," Technology ","Yes","USD","NASDAQ"
"09/05/2025"," MSFT ","420.41","427.69","22701960"," Technology ","no","USD","NASDAQ"
"09/05/2025"," AMZN ","145.77","147.06","16622063"," Consumer Discretionary ","Y","USD","NASDAQ"
"09/05/2025"," GOOGL ","138.57","140.19","12003907"," Communication Services ","N","USD","NASDAQ"
"09/05/2025"," NVDA ","1096.27","1088.15","na"," Semiconductors ","YES","USD","NASDAQ"
"09/08/2025"," AAPL ","190.27","190.99","13221072"," Technology ","y","USD","NASDAQ"
"09/08/2025"," MSFT ","429.11","431.64","15353091"," Technology ","n","USD","NASDAQ"
"09/08/2025"," AMZN ","146.84","145.75","18833719"," Consumer Discretionary ","Yes","USD","NASDAQ"
"09/08/2025"," GOOGL ","140.18","139.23","13238646"," Communication Services ","-","USD","NASDAQ"
"09/08/2025"," NVDA ","1088.15","1076.6","15267607"," Semiconductors ","NO","USD","NASDAQ"
"09/09/2025"," AAPL ","191.05","189.62","20657061"," Technology ","Y","USD","NASDAQ"
"09/09/2025"," MSFT ","431.35","429.77","18002883"," Technology ","yEs","USD","NASDAQ"
"09/09/2025"," AMZN ","145.35","143.49","14722842"," Consumer Discretionary ","N","USD","NASDAQ"
"09/09/2025"," GOOGL ","138.69","137.76","13099846"," Communication Services ","YES","USD","NASDAQ"
"09/09/2025"," NVDA ","1078.85","1081.61","18979963"," Semiconductors ","no","USD","NASDAQ"
"09/10/2025"," AAPL ","189.99","187.31","14907063"," Technology ","na","USD","NASDAQ"
"09/10/2025"," MSFT ","429.2","430.27","15498156"," Technology ","N","USD","NASDAQ"
"09/10/2025"," AMZN ","142.98","144.43","16711678"," Consumer Discretionary ","YES","USD","NASDAQ"
"09/10/2025"," GOOGL ","137.66","138.02","17259650"," Communication Services ","no","USD","NASDAQ"
"09/10/2025"," NVDA ","1084.34","1083.3","17289590"," Semiconductors ","Y","USD","NASDAQ"
"09/11/2025"," AAPL ","188.15","189.55","14327876"," Technology ","Y","USD","NASDAQ"
"09/11/2025"," MSFT ","431.93","427.77","19787063"," Technology ","yes","USD","NASDAQ"
"09/11/2025"," AMZN ","144.48","143.83","15583288"," Consumer Discretionary ","N","USD","NASDAQ"
"09/11/2025"," GOOGL ","137.86","138.32","11028479"," Communication Services ","y","USD","NASDAQ"
"09/11/2025"," NVDA ","1082.21","1091.56","11706661"," Semiconductors ","No","USD","NASDAQ"
"09/12/2025"," AAPL ","188.86","190.75","13443123"," Technology ","Y","USD","NASDAQ"
"09/12/2025"," MSFT ","427.85","430.7","17090645"," Technology ","na","USD","NASDAQ"
"09/12/2025"," AMZN ","143.43","144.44","17993113"," Consumer Discretionary ","Y","USD","NASDAQ"
"09/12/2025"," GOOGL ","138.48","138.51","12788286"," Communication Services ","yes","USD","NASDAQ"
"09/12/2025"," NVDA ","1091.68","1108.89","17269246"," Semiconductors ","n","USD","NASDAQ"
"09/15/2025"," AAPL ","190.64","189.79","19037963"," Technology ","-","USD","NASDAQ"
"09/15/2025"," MSFT ","430.79","432.85","11694226"," Technology ","YES","USD","NASDAQ"
"09/15/2025"," AMZN ","144.38","146.71","13698940"," Consumer Discretionary ","Y","USD","NASDAQ"
"09/15/2025"," GOOGL ","138.43","139.58","11813149"," Communication Services ","no","USD","NASDAQ"
"09/15/2025"," NVDA ","1110.88","1113.45","10233039"," Semiconductors ","Y","USD","NASDAQ"
"09/16/2025"," AAPL ","189.87","189.81","12080129"," Technology ","yes","USD","NASDAQ"
"09/16/2025"," MSFT ","433.03","437.51","20121190"," Technology ","No","USD","NASDAQ"
"09/16/2025"," AMZN ","146.42","148.15","11197642"," Consumer Discretionary ","Y","USD","NASDAQ"
"09/16/2025"," GOOGL ","139.77","138.62","13561756"," Communication Services ","n","USD","NASDAQ"
"09/16/2025"," NVDA ","1115.21","1115.57","15698013"," Semiconductors ","Y","USD","NASDAQ"
